Financial Loss (in Million $),Number of Affected Users,Incident Resolution Time (in Hours),Attack Type_Malware,Attack Type_Man-in-the-Middle,Attack Type_Phishing,Attack Type_Ransomware,Attack Type_SQL Injection,Target Industry_Education,Target Industry_Government,Target Industry_Healthcare,Target Industry_IT,Target Industry_Retail,Target Industry_Telecommunications,Attack Source_Insider,Attack Source_Nation-state,Attack Source_Unknown,Security Vulnerability Type_Unpatched Software,Security Vulnerability Type_Weak Passwords,Security Vulnerability Type_Zero-day,Defense Mechanism Used_Antivirus,Defense Mechanism Used_Encryption,Defense Mechanism Used_Firewall,Defense Mechanism Used_VPN
0.8044024525077899,0.7733551772348384,0.8732394366197184,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
0.6200623178208865,0.29577036281626207,0.9859154929577465,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
0.38345562368077196,0.6059490938350359,0.26760563380281693,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
0.4114986430797065,0.6594162794444818,0.08450704225352114,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
0.7428887325359333,0.8108977983629084,0.943661971830986,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
0.9824102924917077,0.28500186647264697,0.33802816901408456,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
0.3292793245552317,0.43117819959948406,0.46478873239436624,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True
0.5903105839782893,0.9102852150346624,0.9154929577464789,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False
0.16463966227761587,0.6983760186787376,0.647887323943662,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
0.6899185847823902,0.6860442889439768,0.8028169014084507,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
0.8862197205749323,0.4936404823405668,0.3943661971830986,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True
0.38506382551010154,0.9210707248018687,0.36619718309859156,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
0.302140918685295,0.583240176499258,0.5070422535211268,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
0.5816664991456428,0.5998462787139053,0.47887323943661975,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False
0.4775354306965524,0.9225619013401575,0.8873239436619719,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
0.6413709920595035,0.12046004297390642,0.49295774647887325,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False
0.12604281837370593,0.8504049695209521,0.9295774647887325,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
0.9311488591818274,0.8054895312401485,0.7746478873239437,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False
0.1357925419640165,0.5784754171040951,0.3802816901408451,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False
0.36134284852749027,0.26159039482151425,0.07042253521126761,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
